"Typ","p1","A","notA","gesamt","Entropie","step1","Aup1","step2","Aup2","step3","Aup3","step4","Aup4","step5","Aup5","step6","Aup6","ending"
"Konzernmarken",0.514285714285714,18,17,4682,0.999411064738755,"Konzernmarken","-","-","-","-","-","-","-","-","-","-","-","ZS"
"Konzernmarken",0.436619718309859,124,160,4682,0.988377972779504,"Konzernmarken","-","-","-","-","-","-","-","-","-","-","-","ZS"
"Konzernmarken",0.410071942446043,228,328,4682,0.976538229658233,"Konzernmarken","-","-","-","-","-","-","-","-","-","-","-","ZS"
"Konzernmarken",0.412484700122399,337,480,4682,0.97778676367766,"Konzernmarken","-","-","-","-","-","-","-","-","-","-","-","ZS"
"Konzernmarken",0.429189189189189,397,528,4682,0.985483405904196,"Konzernmarken","-","-","-","-","-","-","-","-","-","-","-","ZS"
"Konzernmarken",0.41047503045067,337,484,4682,0.976749230170996,"Konzernmarken","-","-","-","-","-","-","-","-","-","-","-","ZS"
"Konzernmarken",0.367673179396092,207,356,4682,0.948868729084851,"Konzernmarken","-","-","-","-","-","-","-","-","-","-","-","ZS"
"Konzernmarken",0.401098901098901,146,218,4682,0.971589781962838,"Konzernmarken","-","-","-","-","-","-","-","-","-","-","-","ZS"
"Konzernmarken",0.412371134020619,80,114,4682,0.977728774116151,"Konzernmarken","-","-","-","-","-","-","-","-","-","-","-","ZS"
"Konzernmarken",0.338028169014085,24,47,4682,0.922919287868672,"Konzernmarken","-","-","-","-","-","-","-","-","-","-","-","ZS"
"Konzernmarken",0.371428571428571,13,22,4682,0.951762675634831,"Konzernmarken","-","-","-","-","-","-","-","-","-","-","-","ZS"
"Konzernmarken",0.533333333333333,8,7,4682,0.996791631981637,"Konzernmarken","-","-","-","-","-","-","-","-","-","-","-","ZS"
"Konzernmarken",0.5,1,1,4682,1,"Konzernmarken","-","-","-","-","-","-","-","-","-","-","-","ZS"
"NettoDB",0.390862944162437,77,120,556,0.965354179321708,"Konzernmarken","3","NettoDB","Hoher Netto-DB","-","-","-","-","-","-","-","-","ZS"
"NettoDB",0.444444444444444,80,100,556,0.991076059838222,"Konzernmarken","3","NettoDB","Mittlerer Netto-DB","-","-","-","-","-","-","-","-","ZS"
"NettoDB",0.396648044692737,71,108,556,0.96895602464701,"Konzernmarken","3","NettoDB","Niedriger Netto-DB","-","-","-","-","-","-","-","-","ZS"
