"Nummer","Unternehmen","PLZ","Ort","Konzernmarken","Umsatz","NettoDB","Preisumsetzung","Kundenklasse","Jahr","Prognose","Geo Point","Ortsname","Breitengrad","Längengrad","Quad"
8,"467F87C4A3C27D97CE17ADA0",24867,"Dannewerk",4,"Hoher Umsatz","Hoher Netto-DB","Hohe Pr.Um.","notA",2016,"A","54.4765103988, 9.49264869098","Dannewerk",54.4765103988,9.49264869098,">50,2724/<9,7901"
10,"20CCE29E1BF8B6E115C83ED",31073,"Grünenplan, Delligsen",5,"Hoher Umsatz","Niedriger Netto-DB","Hohe Pr.Um.","notA",2016,"notA","51.9322707111, 9.77746569391","Grünenplan, Delligsen",51.9322707111,9.77746569391,">50,2724/<9,7901"
12,"814CD95CFEC74D5B2C83D87",86633,"Neuburg an der Donau",4,"Niedriger Umsatz","Hoher Netto-DB","Niedrige Pr.Um.","A",2016,"A","48.7363818394, 11.1949237979","Neuburg an der Donau",48.7363818394,11.1949237979,"<50,2724/>9,7901"
13,"730F5B5FE5C03CF7E58D1BB5",16225,"Eberswalde",3,"Niedriger Umsatz","Hoher Netto-DB","Mittlere Pr.Um.","A",2016,"A","52.8234790645, 13.7924469295","Eberswalde",52.8234790645,13.7924469295,">50,2724/>9,7901"
18,"26CAD61D4E736EA55A49EE52",79252,"Stegen",8,"Hoher Umsatz","Niedriger Netto-DB","Mittlere Pr.Um.","notA",2016,"A","48.0015435359, 7.96971386721","Stegen",48.0015435359,7.96971386721,"<50,2724/<9,7901"
21,"D198D9828F6F2B92C4058056",83358,"Seeon-Seebruck",2,"Hoher Umsatz","Niedriger Netto-DB","Niedrige Pr.Um.","notA",2016,"A","47.9381516554, 12.4555888441","Seeon-Seebruck",47.9381516554,12.4555888441,"<50,2724/>9,7901"
27,"761ED6C3CEF0E70D602970C",35104,"Lichtenfels",6,"Hoher Umsatz","Niedriger Netto-DB","Niedrige Pr.Um.","notA",2016,"notA","51.1700301844, 8.79120915169","Lichtenfels",51.1700301844,8.79120915169,">50,2724/<9,7901"
28,"26DED542EB0897D132952344",90482,"Nürnberg",4,"Hoher Umsatz","Mittlerer Netto-DB","Niedrige Pr.Um.","notA",2016,"A","49.4638764189, 11.1487591712","Nürnberg",49.4638764189,11.1487591712,"<50,2724/>9,7901"
36,"425635BA66F4A12BC6EC2731",25358,"Horst",5,"Hoher Umsatz","Niedriger Netto-DB","Mittlere Pr.Um.","notA",2016,"A","53.8172593584, 9.6055182986","Horst",53.8172593584,9.6055182986,">50,2724/<9,7901"
43,"73335EBE461ED832BC147DE3",85598,"Baldham",9,"Niedriger Umsatz","Hoher Netto-DB","Mittlere Pr.Um.","A",2016,"notA","48.1130230638, 11.8052982428","Baldham",48.1130230638,11.8052982428,"<50,2724/>9,7901"
53,"12BE308545A9CC46A515A839",81673,"München",3,"Niedriger Umsatz","Niedriger Netto-DB","Mittlere Pr.Um.","A",2016,"notA","48.1281220582, 11.6314949619","München",48.1281220582,11.6314949619,"<50,2724/>9,7901"
57,"B029B2582F06DB23849D33DA",51371,"Leverkusen",4,"Niedriger Umsatz","Hoher Netto-DB","Niedrige Pr.Um.","A",2016,"A","51.0601436127, 6.94606959215","Leverkusen",51.0601436127,6.94606959215,">50,2724/<9,7901"
